"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2017","1.5196","1.5125","1.5248","1.5038","","0.45%"
"07/03/2017","1.5128","1.4901","1.5147","1.4781","48.19K","2.53%"
"06/30/2017","1.4755","1.4467","1.4795","1.4467","4.92K","2.04%"
"06/29/2017","1.4460","1.4395","1.4629","1.4366","18.89K","0.91%"
"06/28/2017","1.4330","1.4035","1.4383","1.4006","15.97K","1.37%"
"06/27/2017","1.4137","1.3833","1.4211","1.3805","29.53K","2.43%"
"06/26/2017","1.3802","1.3765","1.3901","1.3578","20.08K","0.62%"
"06/23/2017","1.3717","1.3721","1.3839","1.3613","24.94K","0.01%"
"06/22/2017","1.3716","1.3619","1.3886","1.3579","23.45K","0.50%"
"06/21/2017","1.3648","1.3914","1.4130","1.3540","31.03K","-2.16%"
"06/20/2017","1.3949","1.4087","1.4199","1.3824","36.28K","-1.15%"
"06/19/2017","1.4111","1.4232","1.4381","1.4071","43.91K","-1.11%"
"06/16/2017","1.4270","1.4113","1.4363","1.4099","43.80K","0.88%"
"06/15/2017","1.4146","1.4100","1.4193","1.4032","58.26K","0.31%"
"06/14/2017","1.4102","1.4412","1.4575","1.4062","71.47K","-2.59%"
"06/13/2017","1.4477","1.4232","1.4521","1.4181","66.60K","1.56%"
"06/12/2017","1.4254","1.4312","1.4541","1.4235","61.26K","-0.41%"
"06/09/2017","1.4312","1.4225","1.4482","1.4132","67.44K","0.63%"
"06/08/2017","1.4223","1.4268","1.4405","1.4098","62.23K","0.43%"
"06/07/2017","1.4162","1.4609","1.4667","1.4128","80.20K","-3.41%"
"06/06/2017","1.4662","1.4594","1.4705","1.4416","69.31K","0.47%"
"06/05/2017","1.4593","1.4835","1.5031","1.4527","58.33K","-1.72%"
"06/02/2017","1.4848","1.5001","1.5001","1.4634","68.50K","-1.13%"
"06/01/2017","1.5017","1.5234","1.5376","1.4923","73.62K","-0.90%"
"05/31/2017","1.5153","1.5523","1.5525","1.4990","5.61K","-2.20%"
"05/30/2017","1.5494","1.5621","1.5786","1.5356","26.06K","-1.25%"
"05/29/2017","1.5690","1.5711","1.5835","1.5576","","-0.12%"
"05/28/2017","1.5709","1.5721","1.5740","1.5693","","0.49%"
"05/26/2017","1.5633","1.5471","1.5691","1.5300","22.91K","0.80%"
"05/25/2017","1.5509","1.6076","1.6269","1.5459","40.33K","-3.45%"
"05/24/2017","1.6063","1.6101","1.6221","1.5956","35.44K","-0.02%"
"05/23/2017","1.6067","1.6004","1.6164","1.5851","35.60K","0.29%"
"05/22/2017","1.6021","1.5888","1.6080","1.5855","27.83K","1.23%"
"05/19/2017","1.5827","1.5433","1.5897","1.5433","42.26K","2.42%"
"05/18/2017","1.5453","1.5334","1.5536","1.5061","48.12K","0.77%"
"05/17/2017","1.5335","1.5030","1.5464","1.5001","68.07K","1.13%"
"05/16/2017","1.5164","1.5101","1.5315","1.5031","47.14K","0.45%"
"05/15/2017","1.5096","1.4933","1.5405","1.4897","64.34K","1.09%"
"05/12/2017","1.4933","1.4900","1.5056","1.4852","49.83K","0.23%"
"05/11/2017","1.4899","1.4765","1.4981","1.4760","55.99K","0.98%"
"05/10/2017","1.4754","1.4445","1.4861","1.4417","69.98K","2.31%"
"05/09/2017","1.4421","1.4590","1.4672","1.4333","59.50K","-0.93%"
"05/08/2017","1.4556","1.4465","1.4611","1.4316","84.01K","1.32%"
"05/05/2017","1.4366","1.4114","1.4536","1.3748","74.67K","1.72%"
